#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
眼|我 需要 我的 眼鏡 ， 但 我 找不到 ！<br /><br />wǒ xūyào wǒde· yǎnjìng, dàn wǒ zhǎobúdào!<br /><br />I need my glasses, but I can't find them.
體|我的 工作 有時候 讓 我 覺得 壓力 很大 ， 但 整體 來說 ， 我 喜歡 我的 同事 也 喜歡 我的 工作 。<br /><br />wǒde· gōngzuò yǒushíhòu ràng wǒ juéde yālì hěndà, dàn zhěngtǐ láishuō, wǒ xǐhuān wǒde· tóngshì yě xǐhuān wǒde· gōngzuò.<br /><br />Sometimes my job can be really stressful, but ON the whole I like the people and enjoy the job.
別|如果 無心 做事 ，那 不如 別 做了 。<br /><br />rúguǒ wúxīn zuòshì, nà bùrú bié zuòle·.<br /><br />There's no point in doing a job if you don't do it properly.
處|事實上 ， 一個人住 有 很多 好處 。<br /><br />shìshíshàng, yīge·rénzhù yǒu hěnduō hǎochù.<br /><br />In fact, there are many advantages TO living alone.
總|英文 總共 有 二十六個 字母 。<br /><br />yīngwén zǒnggòng yǒu èrshíliùge· zìmǔ.<br /><br />English has one (1) alphabet with twenty-six (26) letters.
場|從 你家 到 機場 有 多遠 ？<br /><br />cóng nǐjiā dào jīchǎng yǒu duōyuǎn?<br /><br />How far is it from your house to the airport?
師|我 是 老師 。<br /><br />wǒ shì lǎoshī.<br /><br />I'm a teacher.
書|他 在看書 。<br /><br />tā zàikànshū.<br /><br />He was reading a book.
比|他們的 錢 比 我們 多 。<br /><br />tāmende· qián bǐ wǒmen duō.<br /><br />They have more money than we do. > They have more money than us.
住|沒有 ， 他們 跟 我 住 。<br /><br />méiyǒu, tāmen gēn wǒ zhù.<br /><br />No, they're staying with me.
員|一支 足球隊 有 十一個 球員 。<br /><br />yīzhī zúqiúduì yǒu shíyīge· qiúyuán.<br /><br />There are eleven (11) players on a football team.
九|九月 有 三十天 。<br /><br />jiǔyuè yǒu sānshítiān.<br /><br />There are thirty (30) days in September.
笑|他 在笑 。<br /><br />tā zàixiào.<br /><br />He's laughing.
性|你 有 查覺到 這起 犯罪的 嚴重性 了 嗎 ？<br /><br />nǐ yǒu chájuédào zhèqǐ fànzuìde· yánzhòngxìng le· mā?<br /><br />Are you aware of the seriousness of this crime?
通|你 出去 的時候 ， 有通 電話 是打來找 你的 。<br /><br />nǐ chūqù de·shíhòu, yǒutōng diànhuà shìdǎláizhǎo nǐde·.<br /><br />There was a phone call for you while you were out.
目|我 希望 你 可以 成功地 找到 你 心目中的 理 想工作 。<br /><br />wǒ xīwàng nǐ kěyǐ chénggōngde· zhǎodào nǐ xīnmùzhōngde· lǐxiǎnggōngzuò.<br /><br />I hope you succeed in finding the job you want.
華|你 覺得 我們 應該要等 霍華德 嗎 ？— 不要， 我們 不要等 他 吧 。<br /><br />nǐ juéde wǒmen yīnggāiyàoděng huòhuádé mā? — búyào, wǒmen búyàoděng tā ba·.<br /><br />Do you think we should wait for Howard? — No, let's not wait for him.
報|他 在看 報紙 。<br /><br />tā zàikàn bàozhǐ.<br /><br />He's reading the newspaper.
立|墨西哥 自 一八二一年 就是 獨立的 國家 了。<br /><br />mòxīgē zì yībāèryìnián jiùshì dúlìde· guójiā le·.<br /><br />Mexico has been an independent country since eighteen twenty-one (1821).
馬|過 馬路時 要小心 。<br /><br />guò mǎlùshí yàoxiǎoxīn.<br /><br />Be careful when crossing the street.
命|地球 似乎 是 唯一 有生命的 星球 。<br /><br />dìqiú sìhū shì wéiyī yǒushēngmìngde· xīngqiú.<br /><br />It seems that Earth is the only planet that can support life.
張|紙張 是 木頭 做的 。<br /><br />zhǐzhāng shì mùtóu zuòde·.<br /><br />Paper is made from wood.
活|我們 必須要改變 ， 我們 不能 再 用 這樣的 方式 生活 。<br /><br />wǒmen bìxūyàogǎibiàn, wǒmen bùnéng zài yòng zhèyàngde· fāngshì shēnghuó.<br /><br />We need to change. We can't go on living like this.
難|我 吃不下去了 ， 我 覺得 好難吃 ！<br /><br />wǒ chībùxiàqùle·, wǒ juéde hǎonánchī!<br /><br />I can't eat this. I just tried it and it tastes awful!
神|我 試著 唸書了 ， 但 我 無法 集中 精神 。<br /><br />wǒ shìzhe· niànshūle·, dàn wǒ wúfǎ jízhōng jīngshén.<br /><br />I tried to study, but I couldn't concentrate.
數|她 是 老師 。 她 教 小朋友 數學 。<br /><br />tā shì lǎoshī. tā jiào xiǎopéngyǒu shùxué.<br /><br />She's a teacher. She teaches math to children.
件|有 一個 男人 因為 這個 事件 而 自殺 。<br /><br />yǒu yīge· nánrén yīnwèi zhège· shìjiàn ér zìshā.<br /><br />One man was so upset by the whole ordeal that he commited suicide.
安|請 安靜 。 我 在 工作 。<br /><br />qǐng ānjìng. wǒ zài gōngzuò.<br /><br />Please be quiet. I'm working.
表|失業 表示 他 沒有 多少 錢 了 。<br /><br />shīyè biǎoshì tā méiyǒu duōshǎo qián le·.<br /><br />Being unemployed means he doesn't have much money.
原|我 打給 你的 原因 是 想問 你的 建議 。<br /><br />wǒ dǎgěi nǐde· yuányīn shì xiǎngwèn nǐde· jiànyì.<br /><br />The reason I'm calling you is to ask your advice.
車|我們的 車子 有 四個 門 。<br /><br />wǒmende· chēzǐ yǒu sìge· mén.<br /><br />Our car has four (4) doors. > Our car's got four (4) doors.
白|我 浪費 很多 時間 在做 白日夢 。<br /><br />wǒ làngfèi hěnduō shíjiān zàizuò báirìmèng.<br /><br />I waste a lot of time daydreaming.
應|你 應該照 我的 做 。<br /><br />nǐ yīnggāizhào wǒde· zuò.<br /><br />You should have done it as I showed you. > You should have done it like this.
路|過 馬路時 要小心 。<br /><br />guò mǎlùshí yàoxiǎoxīn.<br /><br />Be careful when crossing the street.
期|我 很期待 跟 她 見面 。<br /><br />wǒ hěnqídài gēn tā jiànmiàn.<br /><br />I'm looking foward to meeting her.
叫|要開車 兩個 小時 叫做 「 兩小時的 車程」。<br /><br />yàokāichē liǎngge· xiǎoshí jiàozuò 「 liǎngxiǎoshíde· chēchéng」.<br /><br />A drive that takes two (2) hours is a two-hour drive.
死|他 死於 心臟病 。<br /><br />tā sǐyú xīnzàngbìng.<br /><br />He died FROM heart disease.
常|我 不常 這樣 做 。<br /><br />wǒ bùcháng zhèyàng zuò.<br /><br />I don't do it very often.
提|她 都會 提早 到 。<br /><br />tā dōuhuì tízǎo dào.<br /><br />She always arrives early.
感|你 感覺 還好嗎 ？<br /><br />nǐ gǎnjué háihǎomā?<br /><br />Are you feeling all right?
金|美金 是 許多 國家 使用的 貨幣 。<br /><br />měijīn shì xǔduō guójiā shǐyòngde· huòbì.<br /><br />The dollar is the currency of many countries.
何|沒有 任何 一個 人 完成 我的 要求 ， 他們 有 嗎 ？<br /><br />méiyǒu rènhé yīge· rén wánchéng wǒde· yàoqiú, tāmen yǒu mā?<br /><br />No one did what I asked them to do, did they?
更|我 很 早起 ， 但 我的 老師 更 早起 。<br /><br />wǒ hěn zǎoqǐ, dàn wǒde· lǎoshī gèng zǎoqǐ.<br /><br />I got up very early, but my teacher got up even earlier.
反|和平主義者 是 反對 戰爭的 。<br /><br />hépíngzhǔyìzhě shì fǎnduì zhànzhēngde·.<br /><br />A pacifist is a person who is against war.
合|大部分 在 會議中的 建議 並不是 非常 合理的 。<br /><br />dàbùfēn zài huìyìzhōngde· jiànyì bìngbúshì fēicháng hélǐde·.<br /><br />Most of the suggestions made at the meeting weren't very reasonable.
放|我 有 把 包包 放在 桌上 。<br /><br />wǒ yǒu bǎ bāobāo fàngzài zhuōshàng.<br /><br />I put my bag on the table. (PAST TENSE)
做|我 不常 這樣 做 。<br /><br />wǒ bùcháng zhèyàng zuò.<br /><br />I don't do it very often.
系|太陽系 有 八個 星球 。<br /><br />tàiyángxì yǒu bāge· xīngqiú.<br /><br />There are eight (8) planets in the solar system.
計|沒有 ， 我 在等 計程車 。<br /><br />méiyǒu, wǒ zàiděng jìchéngchē.<br /><br />No, I'm waiting for a taxi.
或|要不要喝點 熱的 飲料 或是 熱湯 ？<br /><br />yàobúyàohēdiǎn rède· yǐnliào huòshì rètāng?<br /><br />Would you care for a hot drink or some hot soup?
司|她 都會 提早 到 公司 。<br /><br />tā dōuhuì tízǎo dào gōngsī.<br /><br />She always gets to work early.
利|我 在 義大利 出生 。— 真的 嗎 ？ 我 都 不 知道 。<br /><br />wǒ zài yìdàlì chūshēng. — zhēnde· mā? wǒ dōu bùzhīdào.<br /><br />I was born in Italy. — You were? I didn't know that.
受|我們都 很享受 這場 派對 。<br /><br />wǒmendōu hěnxiǎngshòu zhèchǎng pàiduì.<br /><br />All of us enjoyed the party.
光|我 花光了 所有 你 給 我 的 錢 。<br /><br />wǒ huāguāngle· suǒyǒu nǐ gěi wǒ de· qián.<br /><br />I've spent all the money you gave me.
果|她 吃 很多 水果 。<br /><br />tā chī hěnduō shuǐguǒ.<br /><br />She eats a lot of fruit.
親|是 我的 父親 。<br /><br />shì wǒde· fùqīn.<br /><br />That's my father.
界|她 世界 各地 旅行過 。<br /><br />tā shìjiè gède· lǚxíngguò.<br /><br />She's traveled all over the world.
及|我們 及時 搭上 火車 。<br /><br />wǒmen jíshí dāshàng huǒchē.<br /><br />We got on the train just IN time.
今|今天 風 不大 。<br /><br />jīntiān fēng búdà.<br /><br />It isn't windy today.
京|從 台北 到 東京 有 多遠 ？<br /><br />cóng táiběi dào dōngjīng yǒu duōyuǎn?<br /><br />How far is it from Taipei to Tokyo?
務|我 剛 開始 在 業務部 上班 。<br /><br />wǒ gāng kāishǐ zài yèwùbù shàngbān.<br /><br />I just started working in the sales department.
制|他的 父母 不認同 他 所做的 ， 可是 沒辦法 制止 他 。<br /><br />tāde· fùmǔ búrèntóng tā suǒzuòde·, kěshì méibànfǎ zhìzhǐ tā.<br /><br />His parents don't approve of what he does, but they can't stop him.
解|他們 聲稱 已經 解決 問題 了 。<br /><br />tāmen shēngchēng yǐjīng jiějué wèntí le·.<br /><br />They claim to have solved the problem.
各|她 世界 各地 旅行過 。<br /><br />tā shìjiè gède· lǚxíngguò.<br /><br />She's traveled all over the world.
任|沒有 任何 一個 人 完成 我的 要求 ， 他們 有 嗎 ？<br /><br />méiyǒu rènhé yīge· rén wánchéng wǒde· yàoqiú, tāmen yǒu mā?<br /><br />No one did what I asked them to do, did they?
至|他們 對 我們 不是 很友善 。 他們 甚至 沒有 打招呼 。<br /><br />tāmen duì wǒmen búshì hěnyǒushàn. tāmen shénzhì méiyǒu dǎzhāohū.<br /><br />They weren't very friendly to us. They didn't even say hello.
清|他們 需要 人 在 派對後 幫忙 清理 ， 所以 大 家都 來幫忙了 。<br /><br />tāmen xūyào rén zài pàiduìhòu bāngmáng qīnglǐ, suǒyǐ dàjiādōu láibāngmángle·.<br /><br />They needed help to clean up after the party, so everybody helped clean up.
物|法國的 食物 很有名 。<br /><br />fàguóde· shíwù hěnyǒumíng.<br /><br />The French are famous for their food.
象|我 對 他的 演講 感到 印象深刻 。 他 口才 真 好。<br /><br />wǒ duì tāde· yǎnjiǎng gǎndào yìnxiàngshēnkè. tā kǒucái zhēn hǎo.<br /><br />I was very impressed with his speech. He's an eloquent speaker.
記|你 記得 那天 嗎 ？<br /><br />nǐ jìdé nàtiān mā?<br /><br />Do you remember that day?
邊|你 明天 到 機場 的時候 ， 會 有人 在 那邊 等 你 。<br /><br />nǐ míngtiān dào jīchǎng de·shíhòu, huì yǒurén zài nàbiān děng nǐ.<br /><br />When you arrive tomorrow, there will be somebody at the airport to meet you.
共|英文 總共 有 二十六個 字母 。<br /><br />yīngwén zǒnggòng yǒu èrshíliùge· zìmǔ.<br /><br />English has one (1) alphabet with twenty-six (26) letters.
風|今天 風 不大 。<br /><br />jīntiān fēng búdà.<br /><br />It isn't windy today.
戰|和平主義者 是 反對 戰爭的 。<br /><br />hépíngzhǔyìzhě shì fǎnduì zhànzhēngde·.<br /><br />A pacifist is a person who is against war.
幹|你 今晚 想 幹嘛 ？<br /><br />nǐ jīnwǎn xiǎng gànma?<br /><br />What would you like to do tonight?
接|他們 說 要來 機場 接 我 ， 結果 沒有人 來 。<br /><br />tāmen shuō yàolái jīchǎng jiē wǒ, jiéguǒ méiyǒurén lái.<br /><br />I was told that there'd be someone to meet me at the airport, but there wasn't.
它|它 會飛 。<br /><br />tā huìfēi.<br /><br />It flies.
許|美金 是 許多 國家 使用的 貨幣 。<br /><br />měijīn shì xǔduō guójiā shǐyòngde· huòbì.<br /><br />The dollar is the currency of many countries.
八|她 八點 的時候 在看 新聞 。<br /><br />tā bādiǎn de·shíhòu zàikàn xīnwén.<br /><br />At eight o'clock (8:00) she was reading the news.
特|十點半 有 一班 火車 。 是 特快車。<br /><br />shídiǎnbàn yǒu yībān huǒchē. shì tèkuàichē.<br /><br />There's a train at ten thirty (10:30). It's an express train.
覺|你 覺得 還好 嗎 ？<br /><br />nǐ juéde háihǎo mā?<br /><br />Are you feeling okay?
望|我 希望 明年 可以去 英國 。<br /><br />wǒ xīwàng míngnián kěyǐqù yīngguó.<br /><br />I hope to go to the United Kingdom next year.
直|我 一向 有 話 直說 。<br /><br />wǒ yīxiàng yǒu huà zhíshuō.<br /><br />I believe in saying what I think.
服|我 要 跟 你們經理 投訴 你們的 服務 。<br /><br />wǒ yào gēn nǐmenjīnglǐ tóusù nǐmende· fúwù.<br /><br />I'd like to complain to the manager about your service.
毛|他們 所有的 毛衣 和 毛毯 仍然 不夠 保暖 來 預防 生病 。<br /><br />tāmen suǒyǒude· máoyī hàn máotǎn réngrán búgòu bǎonuǎn lái yùfáng shēngbìng.<br /><br />All their sweaters and blankets were not enough to prevent them from getting sick though.
林|你 要搬去 柏林 是 真的 嗎 ？<br /><br />nǐ yàobānqù bólín shì zhēnde· mā?<br /><br />Is it true that you're moving to Berlin?
題|我們 談到了 這個 問題 。<br /><br />wǒmen tándàole· zhège· wèntí.<br /><br />We talked about the problem.
建|出門前 ， 我 打給了 建文 。<br /><br />chūménqián, wǒ dǎgěile· jiànwén.<br /><br />Before going out, I called Jianwen.
南|你 有去過 法國南部 嗎 ？<br /><br />nǐ yǒuqùguò fàguónánbù mā?<br /><br />Have you ever been to the south of France?
度|我 不喜歡 很熱的 天氣 ， 三十二度 對 我 來 說 太熱了。<br /><br />wǒ bùxǐhuān hěnrède· tiānqì, sānshíèrdù duì wǒ láishuō tàirèle·.<br /><br />I don't like hot weather. Ninety degrees is too hot for me. > I don't like hot weather. Thirty-two (32) degrees is too hot for me.
統|總統 持續 討論了 好幾個 小時 。<br /><br />zǒngtǒng chíxù tǎolùnle· hǎojǐge· xiǎoshí.<br /><br />The president went on talking for hours.
色|是 紅色 的。<br /><br />shì hóngsè de·.<br /><br />It's red.
字|這個 字 不常用 。<br /><br />zhège· zì bùchángyòng.<br /><br />This word is not used very often.
請|請 安靜 。 我 在 工作 。<br /><br />qǐng ānjìng. wǒ zài gōngzuò.<br /><br />Please be quiet. I'm working.
交|他 愛的 女人 交往了 一個 月 就 離開 他 了 。<br /><br />tā àide· nǚrén jiāowǎngle· yīge· yuè jiù líkāi tā le·.<br /><br />The woman with whom he fell in love left him after a month. > The woman he fell in love with left him after a month.
愛|你 愛 她 嗎 ？<br /><br />nǐ ài tā mā?<br /><br />Do you love her?
讓|讓 我 為 你 提 袋子 。<br /><br />ràng wǒ wèi nǐ tí dàizǐ.<br /><br />Let me carry your bag for you.
認|我 認識 的 人 沒有 你 多 。<br /><br />wǒ rènshì de· rén méiyǒu nǐ duō.<br /><br />I don't know as many people as you do. > I know fewer people than you do.
算|就算 明天 下雨 ， 我們 還是 要去 海邊 。<br /><br />jiùsuàn míngtiān xiàyǔ, wǒmen háishì yàoqù hǎibiān.<br /><br />We're going to the beach tomorrow, even if it's raining.
論|總統 持續 討論了 好幾個 小時 。<br /><br />zǒngtǒng chíxù tǎolùnle· hǎojǐge· xiǎoshí.<br /><br />The president went on talking for hours.
